ticket_no,flight_id,boarding_no,seat_no
5432072358,47792,64,7A
5432073070,48025,68,6C
5432077549,48089,60,18A
5432079341,36015,21,8C
5432079866,36049,23,7B
5432079867,36049,26,9B
5432081200,35994,56,6A
5432088553,33162,153,28F
5432088612,32085,37,27A
5432089462,32639,143,11F
5432089463,32639,66,15F
5432090393,32621,76,28B
5432090407,32621,22,20F
5432091220,32712,153,29B
5432091340,33592,74,10F
5432091906,32211,134,9D
5432092660,32162,170,26D
5432092985,33118,64,9C
5432092986,33118,31,3C
5432094394,33187,141,17C
5432094585,32483,72,25F
5432094586,32483,16,30E
5432094587,32483,94,11C
5432094602,32483,137,26F
5432094603,32483,168,31C
5432094870,33043,161,9D
5432096565,33752,26,1D
5432097478,32267,69,18E
5432097479,32267,98,17D
5432098094,33152,29,2C
5432098095,33152,15,14E
5432098600,33843,81,25A
5432098601,33843,54,28B
5432098876,33377,125,2C
5432098877,33377,104,17C
5432099229,32179,22,27D
5432099230,32179,131,15F
5432100380,33824,119,17F
5432101339,33675,105,20B
5432102351,33503,132,7A
5432102352,33503,121,12B
5432102626,33896,28,23C
5432102627,33896,17,29A
5432103395,32362,53,9B
5432103396,32362,26,23E
5432103837,32052,101,18D
5432103838,32052,113,9E
5432104138,32646,11,29C
5432104699,32094,79,1C
5432105151,32599,93,25B
5432105152,32599,35,14D
5432106036,32456,91,21A
5432107962,45834,57,21D
5432107963,45834,85,13E
5432108065,45956,51,11D
5432108066,45956,119,2C
5432108067,45956,3,21F
5432110338,39209,4,5A
5432110695,39300,31,4D
5432111802,50744,9,23B
5432113408,34947,50,10C
5432113409,34947,8,3A
5432113410,34947,13,9E
5432113753,34972,44,4E
5432113754,34972,48,2F
5432116284,34245,119,18K
5432117964,34231,121,25K
5432119627,34046,170,14D
5432122816,35509,20,7B
5432122817,35509,5,19A
5432122975,35393,30,15A
5432122976,35393,17,10D
5432123312,35192,104,18A
5432123862,35289,83,6B
5432124259,35507,111,7C
5432125104,35379,117,18A
5432127972,34784,93,30E
5432127973,34784,223,25D
5432128284,34412,7,21E
5432128285,34412,318,28H
5432128550,34416,128,4A
5432130052,34757,51,29G
5432130053,34757,184,38B
5432130054,34757,48,26C
5432130055,34757,79,27G
5432130181,34641,263,44F
5432130634,34551,321,29F
5432130635,34551,274,35J
5432130918,34540,237,16H
5432130919,34540,212,18C
5432130954,34454,208,26J
5432130955,34454,246,16G
5432131326,34519,225,46B
5432131332,34608,332,45G
5432131333,34608,303,14G
5432131655,34537,136,2A
5432131656,34537,332,44K
5432131657,34537,272,39F
5432132813,34458,3,2H
5432133281,34450,146,21C
5432133282,34450,201,31C
5432134445,43805,2,12A
5432134446,43805,82,5A
5432134472,43776,23,18A
5432134473,43776,57,14C
5432134646,43594,38,6C
5432134888,43651,70,16E
5432137633,35790,35,29G
5432138858,35879,69,25E
5432139619,35766,70,35D
5432139620,35766,115,31A
5432142198,38924,45,5D
5432142250,38937,12,14C
5432144388,32121,100,26E
5432144388,60176,87,31B
5432144389,32121,143,1A
5432144389,60176,36,18E
5432144392,32719,61,25E
5432144392,60343,15,4D
5432144846,32601,89,14C
5432144846,60254,89,19C
5432147549,50262,227,25E
5432147549,198775,47,9E
5432147550,50262,18,14D
5432147550,198775,75,17B
5432147669,50315,187,48H
5432147669,199122,21,2F
5432147670,50315,280,40G
5432147670,199122,118,7C
5432150074,50228,265,33A
5432150074,199028,16,21E
5432151418,45845,66,21C
5432151418,174941,49,15D
5432152095,45929,48,20E
5432152095,175189,9,13A
5432152197,45662,8,8D
5432152197,175140,55,2D
5432152239,45844,20,4F
5432152239,174966,47,11C
5432152310,45802,48,16A
5432152310,175143,57,5C
5432152713,45628,90,17E
5432152713,175163,73,11F
5432153011,45928,19,18A
5432153011,175187,68,11A
5432153012,45928,36,16A
5432153012,175187,50,6E
5432153059,45908,93,20C
5432153059,175039,17,17F
5432154806,82389,43,17G
5432155050,82318,38,24B
5432155078,82276,86,19F
5432155079,82276,117,5H
5432155638,82383,82,24B
5432155639,82383,126,12G
5432156119,82337,42,35D
5432156120,82337,7,5B
5432156839,407,8,25A
5432156839,82275,46,30B
5432157347,1257,7,29A
5432157347,82425,114,29F
5432158737,83149,99,1F
5432158737,198689,83,49A
5432159166,83103,35,2A
5432159166,198477,281,35C
5432159167,83103,36,2C
5432159167,198477,250,19K
5432159296,83089,106,9D
5432159296,198361,19,39J
5432159375,83042,71,18A
5432159375,198353,249,15C
5432161088,83084,98,16A
5432161088,198344,57,11E
5432162533,70760,263,14E
5432163211,70585,199,32B
5432165724,32685,6,31D
5432165724,70773,54,39A
5432165725,32685,12,31F
5432165725,70773,55,36B
5432166119,33278,14,4D
5432166119,70585,302,18K
5432166325,32642,19,25B
5432166325,70744,2,30B
5432166326,32642,25,23D
5432166326,70744,51,5K
5432168506,30823,7,13B
5432169243,30478,33,11E
5432169657,30438,127,5G
5432175769,21104,8,2C
5432176228,21452,42,25D
5432176577,21781,62,25A
5432176627,21247,44,21A
5432176628,21247,74,10F
5432176899,20943,98,1C
5432176900,20943,122,6D
5432177309,21005,9,26A
5432177310,21005,160,4A
5432177992,21793,164,17F
5432178403,21501,54,4A
5432178742,21954,51,2A
5432178794,21960,11,13B
5432179216,21472,139,16C
5432179479,21321,16,5F
5432179950,21222,94,29F
5432179951,21222,3,31E
5432179952,21222,117,22C
5432180376,22029,147,12A
5432180382,21465,5,17C
5432181069,21857,119,29B
5432181070,21857,125,29C
5432181071,21857,136,7F
5432182939,22833,149,48D
5432182940,22833,212,29E
5432184024,27399,27,31G
5432186509,30445,97,38H
5432186509,199072,62,23A
5432187738,22810,27,17G
5432187738,96707,3,6D
5432188189,22644,281,5C
5432188189,96499,51,1D
5432189719,27758,27,2D
5432189719,177782,20,1D
5432190396,27690,26,13C
5432190396,177791,30,21A
5432190397,27690,1,4F
5432190397,177791,38,4B
5432193459,87601,26,21G
5432193887,87546,77,14G
5432194262,87434,12,37F
5432194263,87434,172,21D
5432195093,89556,43,22C
5432195093,177019,46,11C
5432200609,64378,189,39D
5432205042,156349,48,5F
5432209317,198462,85,23E
5432209445,198472,97,21H
5432209446,198472,191,34K
5432210227,198432,283,39K
5432210864,198446,280,48G
5432212422,198025,143,31F
5432213611,198306,174,36G
5432214189,78333,42,2F
5432215820,20419,35,5B
5432215821,20419,34,6B
5432216035,20497,39,3B
5432216036,20497,6,5A
5432216037,20497,12,18B
5432216199,20343,31,3A
5432216200,20343,23,5B
5432216201,20343,37,18A
5432219907,2691,53,17C
5432221767,18228,73,11D
5432224948,15359,187,19E
5432224963,15067,10,13G
5432224964,15067,144,18G
5432227856,13827,97,23H
5432228176,13909,144,31G
5432229345,13934,129,3H
5432229346,13934,80,34B
5432229347,13934,177,16E
5432229601,13804,143,14F
5432229986,14031,64,32H
5432230060,13973,48,30A
5432230527,14019,14,2A
5432233197,2779,20,32G
5432233297,2982,86,23D
5432233298,2982,54,1C
5432233739,2962,79,22G
5432233775,2850,43,5A
5432234679,2945,46,17F
5432234680,2945,12,16D
5432237130,2103,6,3C
5432237231,2226,11,19C
5432238148,2256,10,22B
5432238318,2037,97,24F
5432238319,2037,102,26F
5432245804,669,31,29D
5432246496,1033,17,13C
5432247758,746,5,12D
5432247869,1202,39,22B
5432247980,1491,20,23F
5432249726,932,10,30F
5432251934,332,80,12C
5432251989,241,49,24F
5432251990,241,46,21B
5432252235,1369,43,18C
5432252236,1369,1,29E
5432253366,1174,19,6A
5432253367,1174,28,9D
5432255094,1452,86,3A
5432255299,1056,79,23C
5432255432,179,40,14E
5432255433,179,84,28E
5432255737,953,58,1A
5432255738,953,8,31E
5432255969,1075,7,13F
5432256233,1510,13,17E
5432257372,707,64,21D
5432257922,1522,24,6F
5432258588,1255,85,16D
5432259612,551,1,5A
5432260673,1144,54,28B
5432260674,1144,94,13D
5432261083,663,74,24C
5432261370,138,79,23B
5432261371,138,75,27F
5432261522,561,79,20A
5432261523,561,6,31B
5432264087,15525,31,5C
5432264088,15525,21,20A
5432264121,15718,14,6C
5432264122,15718,9,21A
5432264369,15460,35,2D
5432266108,9706,19,8C
5432266582,9795,38,2A
5432267121,9683,98,9B
5432269428,6132,1,22B
5432269429,6132,25,23B
5432271010,9107,38,10F
5432273603,1855,286,27E
5432273604,1855,192,3H
5432274658,1875,318,20E
5432276245,1677,184,44G
5432276246,1677,300,32C
5432277023,1604,29,33D
5432277367,1843,26,18K
5432277368,1843,139,35H
5432277800,1638,96,43C
5432278601,8543,7,28H
5432278753,8584,49,16H
5432278754,8584,56,19H
5432281175,3790,45,25E
5432281640,3912,6,30A
5432282029,3600,27,10C
5432282030,3600,7,23D
5432282469,3535,28,27F
5432282726,3626,10,8D
5432282866,3465,20,16D
5432283875,8461,49,4D
5432284534,8247,29,6E
5432284535,8247,4,16C
5432286258,20070,22,6E
5432286258,202682,44,16E
5432286427,19968,62,19A
5432286427,202834,33,14E
5432286661,19937,9,8E
5432286661,202733,77,18C
5432286662,19937,2,9C
5432286662,202733,48,2F
5432288902,1070,3,30B
5432288902,62505,20,7D
5432290080,12927,29,22D
5432290080,151700,33,7C
5432290081,12927,16,4C
5432290081,151700,34,7D
5432291404,10355,46,9F
5432291404,135762,46,19F
5432291405,10355,50,4D
5432291405,135762,61,15C
5432292354,6970,9,2A
5432292354,111213,9,18E
5432292647,7122,20,24E
5432292647,110883,46,3D
5432293157,6912,46,36F
5432293157,111024,96,23E
5432293158,6912,139,12F
5432293158,111024,108,14C
5432293856,11461,16,9A
5432293856,144322,34,5A
5432295093,11661,57,17C
5432295093,147895,1,4C
5432296408,9517,56,19C
5432296408,125684,39,16E
5432296458,9345,8,10A
5432296458,125876,64,12F
5432298566,15054,43,16D
5432298566,172248,81,2D
5432298567,15054,189,28H
5432298567,172248,13,4C
5432299310,15396,166,31D
5432299310,172130,28,16A
5432300106,15304,24,11A
5432300106,172121,59,8E
5432301200,83592,5,10D
