ticket_no,flight_id,fare_conditions,amount
5432044888,3031,Economy,8200
5432044888,51617,Economy,6700
5432044889,3031,Economy,8200
5432044889,51617,Economy,6700
5432045426,2919,Business,24500
5432045426,51592,Economy,6700
5432046574,34762,Comfort,24400
5432046574,54668,Economy,6000
5432046884,34686,Economy,14400
5432046884,55332,Business,18000
5432047280,34679,Economy,14400
5432047280,55062,Economy,6000
5432048300,169746,Economy,61500
5432052014,136447,Economy,12200
5432052400,136487,Economy,12200
5432055056,130418,Economy,13000
5432055537,130403,Economy,13000
5432057129,131501,Economy,4000
5432057129,174444,Economy,16400
5432057130,131501,Economy,4000
5432057130,174444,Economy,16400
5432057350,131649,Economy,4000
5432057350,174433,Economy,16400
5432057351,131649,Economy,4000
5432057351,174433,Economy,16400
5432057352,131649,Business,12000
5432057352,174433,Economy,16400
5432059501,94449,Economy,11700
5432059501,131112,Economy,17600
5432059502,94449,Economy,11700
5432059502,131112,Economy,17600
5432059503,94449,Economy,11700
5432059503,131112,Economy,17600
5432059535,94526,Business,35000
5432059535,130945,Economy,17600
5432060397,41435,Economy,12200
5432060398,41435,Economy,12200
5432061013,41366,Economy,12200
5432064746,50290,Economy,14000
5432065604,50459,Economy,14000
5432065988,50071,Economy,14000
5432066864,50337,Economy,14000
5432069010,50212,Economy,14000
5432070055,50328,Economy,14000
5432072330,47779,Economy,6200
5432072358,47792,Economy,6200
5432073070,48025,Economy,6800
5432077549,48089,Economy,10700
5432079341,36015,Economy,36600
5432079866,36049,Economy,33300
5432079867,36049,Economy,33300
5432081200,35994,Economy,33300
5432088553,33162,Economy,6000
5432088612,32085,Economy,6000
5432089462,32639,Economy,6000
5432089463,32639,Economy,6000
5432090393,32621,Economy,6000
5432090407,32621,Economy,6600
5432091220,32712,Economy,6000
5432091340,33592,Economy,6000
5432091906,32211,Economy,6000
5432092660,32162,Economy,6000
5432092985,33118,Economy,6000
5432092986,33118,Business,18000
5432094394,33187,Economy,6000
5432094585,32483,Economy,6000
5432094586,32483,Economy,6000
5432094587,32483,Economy,6000
5432094602,32483,Economy,6000
5432094603,32483,Economy,6000
5432094870,33043,Economy,6000
5432096565,33752,Business,18000
5432097478,32267,Economy,6000
5432097479,32267,Economy,6000
5432098094,33152,Business,18000
5432098095,33152,Economy,6000
5432098600,33843,Economy,6000
5432098601,33843,Economy,6000
5432098876,33377,Business,18000
5432098877,33377,Economy,6000
5432099229,32179,Economy,6000
5432099230,32179,Economy,6000
5432100380,33824,Economy,6000
5432101339,33675,Economy,6000
5432102351,33503,Business,18000
5432102352,33503,Economy,6000
5432102626,33896,Economy,6000
5432102627,33896,Economy,6000
5432103395,32362,Economy,6000
5432103396,32362,Economy,6000
5432103837,32052,Economy,6000
5432103838,32052,Economy,6000
5432104138,32646,Economy,6000
5432104699,32094,Business,18000
5432105151,32599,Economy,6000
5432105152,32599,Economy,6000
5432106036,32456,Economy,6000
5432106289,32978,Economy,6000
5432106290,32978,Economy,6000
5432106316,32978,Economy,6000
5432107962,45834,Economy,16400
5432107963,45834,Economy,16400
5432108065,45956,Economy,18000
5432108066,45956,Business,49100
5432108067,45956,Economy,16400
5432110338,39209,Economy,23200
5432110695,39300,Economy,23200
5432111802,50744,Economy,15100
5432113408,34947,Economy,22400
5432113409,34947,Business,67200
5432113410,34947,Economy,22400
5432113753,34972,Economy,22400
5432113754,34972,Business,67200
5432116284,34245,Economy,28000
5432117964,34231,Economy,30800
5432119627,34046,Comfort,47600
5432122816,35509,Economy,9800
5432122817,35509,Economy,9800
5432122975,35393,Economy,9800
5432122976,35393,Economy,9800
5432123312,35192,Economy,9800
5432123862,35289,Economy,9800
5432124259,35507,Economy,9800
5432125104,35379,Economy,9800
5432125642,35574,Economy,9800
5432125643,35574,Economy,9800
5432127972,34784,Economy,14400
5432127973,34784,Economy,14400
5432128284,34412,Economy,14400
5432128285,34412,Economy,14400
5432128550,34416,Business,43100
5432130052,34757,Economy,14400
5432130053,34757,Economy,15800
5432130054,34757,Economy,14400
5432130055,34757,Economy,14400
5432130181,34641,Economy,14400
5432130634,34551,Economy,14400
5432130635,34551,Economy,14400
5432130918,34540,Comfort,24400
5432130919,34540,Economy,14400
5432130954,34454,Economy,14400
5432130955,34454,Comfort,24400
5432131326,34519,Economy,14400
5432131332,34608,Economy,14400
5432131333,34608,Comfort,24400
5432131655,34537,Business,43100
5432131656,34537,Economy,14400
5432131657,34537,Economy,14400
5432132813,34458,Business,43100
5432133281,34450,Economy,14400
5432133282,34450,Economy,14400
5432133534,34400,Comfort,24400
5432133535,34400,Comfort,24400
5432133646,34662,Economy,14400
5432134445,43805,Economy,17000
5432134446,43805,Economy,17000
5432134472,43776,Economy,17000
5432134473,43776,Economy,17000
5432134646,43594,Economy,18700
5432134888,43651,Economy,17000
5432137633,35790,Economy,11800
5432138858,35879,Economy,11800
5432139619,35766,Economy,11800
5432139620,35766,Economy,11800
5432142198,38924,Business,199300
5432142250,38937,Economy,66400
5432144388,32121,Economy,6000
5432144388,60176,Economy,44300
5432144389,32121,Business,18000
5432144389,60176,Economy,44300
5432144392,32719,Economy,6000
5432144392,60343,Business,132900
5432144846,32601,Economy,6000
5432144846,60254,Economy,48700
5432147549,50262,Economy,14000
5432147549,198775,Economy,13400
5432147550,50262,Comfort,23900
5432147550,198775,Economy,13400
5432147669,50315,Economy,14000
5432147669,199122,Business,40300
5432147670,50315,Economy,14000
5432147670,199122,Economy,13400
5432150074,50228,Economy,14000
5432150074,199028,Economy,13400
5432151418,45845,Economy,16400
5432151418,174941,Economy,4000
5432152095,45929,Economy,16400
5432152095,175189,Economy,4000
5432152197,45662,Economy,16400
5432152197,175140,Business,12000
5432152239,45844,Economy,16400
5432152239,174966,Economy,4000
5432152310,45802,Economy,16400
5432152310,175143,Economy,4000
5432152713,45628,Economy,16400
5432152713,175163,Economy,4000
5432153011,45928,Economy,16400
5432153011,175187,Economy,4000
5432153012,45928,Economy,16400
5432153012,175187,Economy,4400
5432153059,45908,Economy,16400
5432153059,175039,Economy,4000
5432154046,45763,Business,49100
5432154046,174995,Economy,4000
5432154806,82389,Economy,8200
5432155050,82318,Economy,8200
5432155078,82276,Economy,8200
5432155079,82276,Business,24500
5432155638,82383,Economy,8200
5432155639,82383,Economy,8200
5432156119,82337,Economy,8200
5432156120,82337,Business,24500
5432156839,407,Economy,6700
5432156839,82275,Economy,8200
5432157347,1257,Economy,6700
5432157347,82425,Economy,8200
5432158737,83149,Business,40300
5432158737,198689,Economy,14000
5432159166,83103,Business,40300
5432159166,198477,Economy,14000
5432159167,83103,Business,40300
5432159167,198477,Economy,14000
5432159296,83089,Economy,13400
5432159296,198361,Economy,14000
5432159375,83042,Economy,13400
5432159375,198353,Comfort,23900
5432161088,83084,Economy,13400
5432161088,198344,Economy,13600
5432162533,70760,Comfort,24400
5432163211,70585,Economy,14400
5432165724,32685,Economy,6000
5432165724,70773,Economy,14400
5432165725,32685,Economy,6000
5432165725,70773,Economy,14400
5432166119,33278,Business,18000
5432166119,70585,Economy,14400
5432166325,32642,Economy,6000
5432166325,70744,Economy,14400
5432166326,32642,Economy,6000
5432166326,70744,Business,43100
5432168506,30823,Economy,13600
5432169243,30478,Economy,13600
5432169657,30438,Business,40900
5432175769,21104,Business,18800
5432176228,21452,Economy,6300
5432176577,21781,Economy,6300
5432176627,21247,Economy,6300
5432176628,21247,Economy,6300
5432176899,20943,Business,18800
5432176900,20943,Business,18800
5432177309,21005,Economy,6300
5432177310,21005,Business,18800
5432177992,21793,Economy,6300
5432178403,21501,Business,18800
5432178742,21954,Business,18800
5432178794,21960,Economy,6300
5432179216,21472,Economy,6300
5432179479,21321,Business,18800
5432179950,21222,Economy,6300
5432179951,21222,Economy,6300
5432179952,21222,Economy,6300
5432180376,22029,Economy,6300
5432180382,21465,Economy,6300
5432181069,21857,Economy,6300
5432181070,21857,Economy,6300
5432181071,21857,Business,18800
5432182264,21986,Business,18800
5432182939,22833,Economy,11700
5432182940,22833,Economy,11700
5432184024,27399,Economy,64400
5432186509,30445,Economy,13600
5432186509,199072,Economy,13400
5432187738,22810,Economy,11700
5432187738,96707,Economy,19400
5432188189,22644,Business,35000
5432188189,96499,Business,52900
5432189719,27758,Business,38000
5432189719,177782,Economy,3400
5432190396,27690,Economy,12700
5432190396,177791,Economy,3100
5432190397,27690,Economy,12700
5432190397,177791,Economy,3100
5432193459,87601,Economy,11800
5432193887,87546,Economy,11800
5432194262,87434,Economy,11800
5432194263,87434,Economy,11800
5432195093,89556,Economy,3100
5432195093,177019,Economy,12700
5432200609,64378,Economy,28000
5432205042,156349,Business,34700
5432209317,198462,Economy,14000
5432209445,198472,Economy,14000
5432209446,198472,Economy,14000
5432210227,198432,Economy,14000
5432210864,198446,Economy,14000
5432212422,198025,Economy,13600
5432213611,198306,Economy,13600
5432214189,78333,Business,44500
5432215820,20419,Economy,10100
5432215821,20419,Economy,10100
5432216035,20497,Economy,10100
5432216036,20497,Economy,10100
5432216037,20497,Economy,10100
5432216199,20343,Economy,10100
5432216200,20343,Economy,10100
5432216201,20343,Economy,10100
5432219907,2691,Economy,14800
5432221767,18228,Economy,11000
5432224948,15359,Economy,61500
5432224963,15067,Economy,61500
5432224964,15067,Economy,61500
5432227856,13827,Economy,11600
5432228176,13909,Economy,11600
5432229345,13934,Business,34700
5432229346,13934,Economy,11600
5432229347,13934,Economy,11600
5432229601,13804,Economy,11600
5432229986,14031,Economy,11600
5432230060,13973,Economy,11600
5432230527,14019,Business,34700
5432233197,2779,Economy,8200
5432233297,2982,Economy,8200
5432233298,2982,Business,24500
5432233739,2962,Economy,8200
5432233775,2850,Business,24500
5432234679,2945,Economy,8200
5432234680,2945,Economy,8200
5432237130,2103,Business,21500
5432237231,2226,Economy,7900
5432238148,2256,Economy,7200
5432238318,2037,Economy,7200
5432238319,2037,Economy,7200
5432245804,669,Economy,6700
5432246496,1033,Economy,6700
5432247758,746,Economy,6700
5432247869,1202,Economy,6700
5432247980,1491,Economy,6700
5432249726,932,Economy,6700
5432251934,332,Economy,6700
5432251989,241,Economy,6700
5432251990,241,Economy,6700
5432252235,1369,Economy,6700
5432252236,1369,Economy,6700
5432253366,1174,Business,20000
5432253367,1174,Economy,6700
5432255094,1452,Business,20000
5432255299,1056,Economy,6700
5432255432,179,Economy,6700
5432255433,179,Economy,6700
5432255737,953,Business,20000
5432255738,953,Economy,6700
5432255969,1075,Economy,6700
5432256233,1510,Economy,6700
5432257372,707,Economy,6700
5432257922,1522,Business,20000
5432258588,1255,Economy,6700
5432259612,551,Business,20000
5432260673,1144,Economy,6700
5432260674,1144,Economy,6700
5432261083,663,Economy,6700
5432261370,138,Economy,6700
5432261371,138,Economy,6700
5432261522,561,Economy,7300
5432261523,561,Economy,6700
5432262849,256,Economy,6700
5432262850,256,Economy,6700
5432262891,436,Economy,6700
5432264087,15525,Economy,15700
5432264088,15525,Economy,15700
5432264121,15718,Economy,15700
5432264122,15718,Economy,15700
5432264369,15460,Economy,15700
5432266108,9706,Economy,13000
5432266582,9795,Business,38900
5432267121,9683,Economy,13000
5432269428,6132,Economy,23100
5432269429,6132,Economy,23100
5432271010,9107,Economy,23500
5432273603,1855,Economy,27900
5432273604,1855,Business,83700
5432274658,1875,Economy,27900
5432276245,1677,Economy,27900
5432276246,1677,Economy,27900
5432277023,1604,Economy,27900
5432277367,1843,Economy,27900
5432277368,1843,Economy,27900
5432277800,1638,Economy,27900
5432278162,1835,Comfort,47400
5432278176,1868,Business,83700
5432278601,8543,Economy,67800
5432278753,8584,Economy,67800
5432278754,8584,Economy,67800
5432281175,3790,Economy,9200
5432281640,3912,Economy,9200
5432282029,3600,Economy,9200
5432282030,3600,Economy,9200
5432282469,3535,Economy,9200
5432282726,3626,Economy,10100
5432282866,3465,Economy,9200
5432283875,8461,Business,199800
5432284534,8247,Economy,66600
5432284535,8247,Economy,66600
5432286258,20070,Economy,5900
5432286258,202682,Economy,6300
5432286427,19968,Economy,5400
5432286427,202834,Economy,6300
5432286661,19937,Economy,5400
5432286661,202733,Economy,6300
5432286662,19937,Economy,5400
5432286662,202733,Business,18900
5432288902,1070,Economy,6700
5432288902,62505,Economy,10900
5432290080,12927,Economy,19000
5432290080,151700,Economy,14800
5432290081,12927,Economy,19000
5432290081,151700,Economy,14800
5432291404,10355,Economy,28700
5432291404,135762,Economy,19100
5432291405,10355,Economy,28700
5432291405,135762,Economy,19100
5432292354,6970,Business,30600
5432292354,111213,Economy,7900
5432292647,7122,Economy,10200
5432292647,110883,Business,23600
