book_ref,book_date,total_amount
04BC7E,07/11/16 11:32,38600
04C6B8,20/10/16 12:18,199700
04DB3E,02/05/17 17:09,114800
04EDC8,10/01/17 17:52,50100
04F1D5,03/03/17 2:42,18600
05045F,16/07/17 8:15,22600
052D81,03/07/17 3:31,56000
05371E,03/11/16 20:04,128800
053FCA,18/09/16 19:23,174600
5.40E+61,29/10/16 2:59,15000
55954,02/01/17 16:38,40800
055C00,10/09/16 2:35,101100
0562B3,30/09/16 6:40,28000
0572CB,10/07/17 23:33,186900
058A44,17/01/17 12:51,23600
05A8F9,12/05/17 3:28,36800
05A9C0,23/02/17 0:21,55800
05CDBB,29/01/17 11:07,58000
05D7CA,20/11/16 20:28,94000
05D9EF,01/08/16 2:28,135400
5.00E+124,22/06/17 18:30,137400
05EB54,23/11/16 16:23,136500
05F098,15/10/16 11:35,32800
05F8FA,16/03/17 13:35,97400
0602AD,06/12/16 20:48,19200
06176A,17/07/17 21:32,177600
62717,03/05/17 22:24,166100
63898,11/08/17 15:50,16800
063C3A,20/12/16 13:56,71200
65595,10/08/17 8:40,15000
0658BE,08/01/17 20:08,28000
66136,12/01/17 1:22,54000
066A21,28/02/17 2:03,27200
06A9E5,26/09/16 3:44,94200
06AB4C,05/08/17 4:27,54400
06B103,10/12/16 14:09,31700
06B762,05/07/17 18:51,136600
06DFEB,28/09/16 13:11,51300
06E330,17/02/17 15:49,70700
06F704,04/02/17 14:05,46400
0724C2,08/01/17 15:25,28000
073B16,04/11/16 5:43,10600
0756A3,18/08/16 22:06,75500
7.58E+03,06/06/17 5:01,67400
075D61,13/03/17 18:27,85700
07AE7C,25/03/17 8:43,29600
07B2A6,16/05/17 18:53,112000
07BF6E,16/10/16 13:33,23400
07C6E3,14/07/17 22:35,68600
07C8F7,09/12/16 10:01,70600
07CEDC,30/11/16 4:51,33800
07E645,02/01/17 16:59,45100
07EDEC,11/06/17 14:39,45500
80648,13/04/17 15:00,62600
082E9D,21/02/17 18:53,160400
083BFC,27/01/17 8:33,39300
084A3A,20/10/16 11:13,117200
086E6A,28/01/17 17:34,20400
088BA7,20/06/17 2:36,19600
088F87,21/12/16 6:38,31400
08922C,08/12/16 2:42,8600
08C102,30/10/16 18:17,25200
08C827,30/06/17 6:28,30200
08FCAC,29/10/16 3:00,23400
09072A,24/04/17 18:25,40600
9.00E+68,02/09/16 0:44,24400
092A47,20/10/16 13:36,291000
9.47E+07,24/10/16 12:37,28800
094BC0,13/06/17 11:51,177200
95371,09/07/17 22:07,69100
96545,24/09/16 22:44,6000
097DEB,06/05/17 14:41,55800
0980EF,09/10/16 7:30,204500
0982A7,15/03/17 16:25,16400
09B79D,08/01/17 0:37,199400
09BDB3,22/12/16 19:16,131100
09C844,17/03/17 0:59,97400
09DA82,30/12/16 4:32,81600
09EC8E,28/02/17 22:46,234800
09F4A5,29/03/17 1:30,271200
0A0E16,07/04/17 2:10,98300
0A0E89,30/03/17 15:11,28800
0A1C6C,30/12/16 16:35,135600
0A35AB,02/12/16 16:22,136800
0A38F6,07/06/17 11:03,139400
0A55B3,18/05/17 16:07,115700
0A6973,26/06/17 10:28,68800
0A70D0,02/03/17 10:26,64000
0A78C9,15/03/17 0:29,43900
0A8029,27/05/17 19:25,19800
0A9019,20/12/16 10:40,63400
0A9898,17/08/16 23:39,67600
0A9F69,11/06/17 13:14,58400
0AA012,16/12/16 21:38,57700
0AB1F7,26/04/17 17:46,107500
0ABE33,27/02/17 21:45,20400
0AC12B,05/01/17 9:01,414700
0ACEDB,06/07/17 17:34,112000
0AD3F7,04/04/17 20:19,61800
0ADEB6,01/12/16 19:58,23200
0ADF0F,18/09/16 6:37,37700
0AE241,27/12/16 20:38,102700
0B00B9,13/07/17 2:54,46700
0B05BC,19/01/17 11:35,68800
0B0C51,09/11/16 9:11,67600
0B16B8,25/01/17 20:35,19600
0B18FD,14/06/17 12:51,57800
0B1C71,17/08/16 8:47,18900
0B569A,20/02/17 22:01,49100
0B5B3F,26/11/16 7:23,32400
0B5F40,07/08/16 6:18,187800
0B6B33,22/11/16 4:48,56100
0B802D,15/04/17 15:35,18600
0BBB8A,11/11/16 22:25,24400
0BC366,14/07/17 19:23,213600
0BC617,04/03/17 7:49,131100
0BD103,07/03/17 20:27,148900
0BDDC0,01/08/17 5:59,52600
0BE1E7,12/03/17 23:21,100600
0BF56F,12/09/16 18:02,123800
0BF967,06/06/17 16:42,14000
0C0706,17/10/16 9:05,107500
0C12E4,02/03/17 9:34,19600
0C1B05,20/11/16 2:27,94000
0C1BDC,24/07/17 17:43,40800
0C2027,10/12/16 5:53,57300
0C4A15,02/11/16 4:52,100600
0C612D,18/06/17 7:35,40600
0C6EAF,27/11/16 9:49,55800
0C6EF0,25/06/17 11:27,34000
0C83AC,19/10/16 6:56,29400
0C86DD,01/08/17 22:16,23200
0C9D26,22/12/16 9:43,59000
0CA95A,25/04/17 1:58,56900
0CB62B,21/02/17 11:28,28800
0CC418,23/02/17 7:00,24800
0CC644,26/06/17 1:37,59800
0CC67E,12/12/16 17:01,66600
0CE407,19/05/17 23:55,34000
0CE908,13/10/16 10:07,28000
0CFAD9,07/03/17 10:39,84300
0CFB3D,21/07/17 19:35,99700
0D0D9E,11/01/17 3:49,73600
0D328B,02/07/17 2:02,63700
0D414B,24/09/16 17:16,137600
0D4CEF,08/12/16 20:08,15000
0D52E7,26/06/17 7:56,26000
0D611F,28/08/16 11:41,57600
0D62AF,29/07/16 19:04,77500
0D7599,03/08/17 2:23,90800
0D762A,23/05/17 6:32,32700
0D843F,20/02/17 14:51,112400
0D8B88,10/02/17 18:56,136800
0D99C4,25/06/17 0:43,15400
0D9EF5,28/10/16 18:56,6800
0DB9EA,05/02/17 20:54,25600
0DC6C3,27/05/17 12:48,39200
0DC879,10/08/16 1:43,27200
0DF7BE,13/04/17 2:39,18800
0E084F,06/09/16 17:59,119700
0E0C9A,04/12/16 6:28,532800
0E0E95,01/02/17 1:42,23200
0E110F,04/01/17 20:15,141400
0E11F4,10/03/17 3:42,41200
0E1438,13/09/16 10:56,6000
0E16D8,15/05/17 13:45,89400
0E432E,17/03/17 4:14,45200
0E5CF5,04/12/16 18:36,18000
0E7304,21/02/17 14:32,406700
0E8328,31/03/17 9:55,30400
0E8340,18/03/17 13:44,23200
0E9D57,07/03/17 7:39,28000
0EA698,20/12/16 16:39,95600
0EB8F8,29/04/17 8:29,137100
0EC2CD,25/12/16 3:59,27800
0EC361,05/01/17 21:02,56600
0F0C2B,23/08/16 19:23,23600
0F42D9,08/12/16 20:56,294400
0F4CD2,27/08/16 0:32,62600
0F5516,31/07/16 5:16,40400
0F6952,14/09/16 0:16,26000
0F6D9B,14/02/17 23:55,37200
0F8029,17/12/16 20:47,115900
0F8133,17/03/17 14:57,61200
0F8451,12/03/17 18:10,59200
0F8F3C,05/03/17 9:28,76600
0F9EA6,21/03/17 6:32,140800
0FA380,15/05/17 7:08,40800
0FB269,06/10/16 4:26,34800
0FB326,14/01/17 22:47,159800
0FB8EF,20/10/16 21:04,27800
0FDFF5,08/04/17 19:13,199600
0FE55A,03/12/16 4:13,234600
0FE775,14/08/17 22:31,48800
0FEC85,16/05/17 5:58,123000
0FEFF3,15/07/17 17:56,21800
0FF02D,12/05/17 23:42,22800
10014C,18/01/17 4:39,23600
100DB9,27/04/17 20:33,143600
101992,27/10/16 15:44,66000
103BA7,02/08/17 14:27,17600
10401C,28/06/17 12:06,26800
104239,23/09/16 10:36,25600
104283,15/04/17 3:49,46300
104B43,17/02/17 3:49,54500
104C6A,09/12/16 5:24,31600
105A3D,14/07/17 8:30,66600
106526,15/08/17 14:55,24400
10787D,20/03/17 17:45,23200
108468,16/12/16 2:24,375200
109484,02/06/17 11:16,61400
10B1C0,07/06/17 9:33,15000
10B880,18/06/17 5:46,71900
10F207,01/03/17 9:34,283000
110056,15/04/17 16:40,113600
110974,04/01/17 21:30,23200
111346,17/11/16 2:40,13600
112483,20/05/17 9:23,532800
113F25,19/03/17 6:32,122500
114801,22/04/17 5:29,51300
114AEA,13/05/17 13:01,59800
115448,17/06/17 12:19,103900
115CD2,05/01/17 22:04,91800
116D85,04/12/16 19:18,75600
11851E,17/07/17 5:15,118400
1189A4,04/10/16 3:14,28000
118B64,11/07/17 22:54,42400
119941,21/05/17 9:50,31600
11C0EA,26/05/17 12:48,25400
11EECF,28/11/16 3:14,138600
11F2D0,18/07/17 3:42,17600
11FCB2,22/06/17 16:34,47100
11FF19,05/08/17 21:37,229600
12030D,09/04/17 9:13,131800
12265B,07/08/16 3:27,38800
122F2D,05/08/16 16:43,52000
12508E,02/08/16 1:59,44000
126576,08/11/16 0:07,29200
127BAC,13/11/16 13:59,6700
128AF8,30/10/16 9:16,170000
12971E,20/12/16 9:30,57300
1298C8,20/09/16 16:43,59800
129B1A,30/03/17 20:17,129000
12A358,17/12/16 6:48,56600
12BA3C,01/07/17 17:37,68000
12BD84,07/12/16 20:40,41600
12C8F2,17/10/16 17:15,24700
12F5E4,10/06/17 22:39,79900
12FA38,12/01/17 16:28,36200
1300F3,06/07/17 21:58,45100
130C28,03/09/16 21:04,40800
132CF5,06/06/17 11:07,84500
132EC8,14/02/17 9:27,74400
13328D,12/03/17 1:07,89600
133B13,14/01/17 18:07,28800
1355FC,25/01/17 5:32,41600
136DEE,07/03/17 8:11,189800
138258,19/05/17 13:40,119400
13AD12,20/01/17 8:57,25100
13B39C,26/01/17 11:22,114700
13B9AF,05/03/17 0:08,127100
13CDBA,13/01/17 18:39,39100
13EA6E,13/09/16 0:48,28800
14107A,27/01/17 10:31,67600
14191D,02/06/17 3:03,19600
141C3F,03/02/17 3:49,55800
142E6E,26/02/17 9:58,47400
143722,15/08/16 14:37,23400
143729,19/12/16 9:37,32200
144106,05/09/16 13:43,68000
1443A0,30/06/17 3:10,159100
14595C,07/01/17 1:20,35200
14601E,24/05/17 10:13,92800
14629D,03/08/16 17:46,72400
1471A1,17/02/17 17:53,99100
147A9C,29/07/17 14:07,99200
148BA3,03/10/16 2:54,37200
148CB3,02/03/17 17:30,16400
14A4FC,11/08/17 4:14,30400
14B5EA,15/09/16 23:02,6000
14B846,18/07/17 3:12,357600
14CFD7,21/04/17 17:12,55800
14E7BD,01/09/16 7:29,26000
14F67B,13/05/17 16:11,248300
1508B0,07/09/16 5:22,57500
150ABA,05/07/17 7:34,133200
150D5C,07/09/16 1:27,12400
1.50E+88,18/02/17 15:17,67100
152F4F,11/08/16 3:54,147900
1.57E+07,25/04/17 4:31,111600
158027,01/05/17 10:00,398300
158E7F,17/04/17 22:13,49100
15A1F3,08/09/16 19:31,92800
15A31E,01/09/16 15:14,70700
15B67B,05/11/16 9:12,25400
15BDD6,04/02/17 12:25,102100
15C903,22/10/16 18:07,92700
15D69D,10/02/17 3:47,46400
15D812,23/12/16 23:49,15000
15E2A4,11/04/17 0:10,187600
161BAB,16/03/17 20:32,64100
161FCD,24/06/17 7:05,185500
162D01,30/09/16 15:44,24200
16403C,17/03/17 15:40,28600
1642B1,24/01/17 23:24,28000
1.64E+10,15/06/17 12:47,43200
164D1C,04/12/16 17:42,44800
168C9D,28/08/16 18:16,61800
169A17,18/03/17 6:29,33200
16ADDC,08/01/17 11:45,196800
16BB87,11/10/16 21:25,13400
16C79B,22/05/17 12:11,92700
16CD13,29/07/17 7:43,96800
16D5CE,20/10/16 6:12,121400
16E341,30/03/17 18:20,22000
16FDB4,24/05/17 4:28,66600
170103,04/05/17 11:51,12400
171509,10/05/17 14:09,43900
17312D,09/05/17 15:18,65800
173CB8,29/01/17 3:15,122300
174024,28/04/17 5:44,119500
17486A,15/03/17 18:27,71200
174D99,04/09/16 13:32,120700
175F67,12/07/17 15:21,20400
176F7E,06/10/16 6:02,28000
177835,28/11/16 2:06,27200
17875C,03/03/17 2:27,12000
1795AC,11/10/16 10:01,64400
17A3AB,21/03/17 18:51,133100
17AA29,18/10/16 4:51,83100
17C0CD,21/08/16 5:52,47400
17CA32,02/07/17 5:26,59000
17D6F6,21/12/16 14:18,37100
17E9A7,18/03/17 15:42,246000
17F243,09/08/17 19:31,94900
1814B2,21/08/16 9:11,72600
1831DB,11/05/17 10:28,27200
183497,25/08/16 10:26,24400
18375D,27/11/16 10:04,12200
183E4B,17/09/16 15:09,36200
185828,02/04/17 17:17,96400
186178,02/06/17 2:08,94700
186441,19/08/16 21:26,135300
1889D1,13/02/17 21:57,24000
18A2C2,11/10/16 3:42,6000
18B28D,19/06/17 9:04,47500
18B6CA,06/12/16 18:27,265600
18E4B8,19/02/17 21:33,38400
18E5D5,19/06/17 19:13,25300
18E797,30/12/16 18:54,39600
18FF53,28/11/16 10:42,6000
190328,17/09/16 15:19,26000
190A7B,24/11/16 9:29,64700
192226,18/07/17 7:37,26200
192493,03/05/17 6:34,153300
193B81,19/02/17 0:07,189200
194AFD,21/05/17 0:32,15000
194BC3,23/08/16 7:08,40800
195018,05/01/17 15:24,64600
19550D,24/08/16 17:23,64700
195AFB,13/03/17 19:15,75300
196936,23/11/16 10:35,40000
197C23,16/04/17 7:00,66600
198CA9,11/03/17 16:29,15200
19921F,10/03/17 5:04,19600
199327,09/04/17 13:04,49800
19A978,13/10/16 3:34,67100
19B289,02/03/17 2:32,38800
19C498,30/11/16 16:16,14700
19CE7B,24/07/17 22:31,55800
19D5E5,14/04/17 8:56,31800
19EC55,06/07/17 12:09,6700
19F1AB,14/02/17 0:44,198400
1A326F,07/07/17 3:35,68800
1A4C13,21/12/16 7:57,75700
1A514D,26/01/17 6:41,29800
1A6037,06/04/17 6:49,16400
1A6262,27/09/16 23:31,163800
1A7348,23/09/16 13:34,181000
1A8D23,20/03/17 2:18,18400
1A9867,25/08/16 10:25,44000
1A9B00,09/02/17 10:31,418600
1ABAA0,30/06/17 3:39,273600
1ABE05,08/04/17 3:49,47600
1AC060,14/11/16 7:11,50600
1ADC15,07/07/17 6:51,60400
1ADE31,21/05/17 6:44,56000
1ADE42,28/08/16 15:42,10600
1ADF20,21/06/17 17:07,22000
1AE705,09/07/17 6:11,56900
1AE7A1,19/12/16 10:12,123000
1AEB0A,05/09/16 14:13,58200
1AF6CF,06/06/17 2:47,31600
1B18B0,26/06/17 2:37,69000
1B4307,15/02/17 16:23,8200
1B46F9,02/09/16 7:26,23600
1B607A,21/12/16 1:14,174900
1B8555,04/06/17 10:21,66600
1B8A7E,12/02/17 19:33,43000
1B9418,15/11/16 5:11,49800
1BA464,16/07/17 23:42,51600
1BAAAA,22/12/16 8:42,271100
1BCB9B,11/01/17 18:15,92800
1BD27B,11/03/17 1:19,58600
1BD4F4,30/01/17 11:01,23600
1BEDD9,30/09/16 18:14,7400
1C17F7,13/06/17 13:05,57400
1C2656,27/07/17 15:52,30200
1C4ED5,31/07/16 22:45,45100
1C6028,28/11/16 19:57,28800
1C65C1,16/07/17 2:05,56000
1C814D,29/10/16 2:23,6000
1C9F1B,07/09/16 18:44,246000
1C9FDD,16/11/16 23:27,73500
1CBD32,18/08/16 18:23,67400
1CC303,11/11/16 16:32,106400
1CCE75,24/04/17 10:41,55000
1CD62E,17/08/16 9:23,26000
1CF7AA,23/03/17 7:45,80200
1D064E,18/11/16 10:18,32900
1D50FF,18/06/17 18:13,46400
1D62F2,12/09/16 7:31,7800
1D9617,23/10/16 6:40,24400
1DB292,13/09/16 22:09,17800
1DBD02,14/07/17 2:47,7400
1DC358,28/08/16 9:23,61800
1DC830,31/03/17 19:17,12600
1DC983,23/09/16 13:12,213200
1DCF22,24/04/17 19:18,8200
1DF726,08/07/17 21:38,24400
1DFFFF,01/06/17 8:48,99300
1E1338,06/05/17 7:11,32800
,,
